text,term,polarity
But the staff was so horrible to us.,staff,angry
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,approval
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,love
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,love
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral
"Not only was the food outstanding, but the little 'perks' were great.",food,joy
"Not only was the food outstanding, but the little 'perks' were great.",perks,approval
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,love
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,joy
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,joy
Nevertheless the food itself is pretty good.,food,approval
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,disappointed
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,disappointed
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,disappointed
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,disappointed
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral
The design and atmosphere is just as good.,design,approval
The design and atmosphere is just as good.,atmosphere,approval
He has visited Thailand and is quite expert on the cuisine.,cuisine,love
The pizza is the best if you like thin crusted pizza.,pizza,love
The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral
"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,approval
"All the money went into the interior decoration, none of it went to the chefs.",chefs,disappointed
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,disgust
"I asked for seltzer with lime, no ice.",seltzer with lime,neutral
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,love
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,love
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,approval
"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,love
"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,joy
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,joy
Faan's got a great concept but a little rough on the delivery.,delivery,disappointed
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,love
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,joy
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,joy
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,approval
"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,approval
this little place has a cute interior decor and affordable city prices.,interior decor,joy
this little place has a cute interior decor and affordable city prices.,prices,approval
Two words: Free wine.,wine,approval
The price is reasonable although the service is poor.,price,approval
The price is reasonable although the service is poor.,service,disappointed
"The quantity is also very good, you will come out satisfied.",quantity,approval
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral
The fried rice is amazing here.,fried rice,joy
